City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,kodiak,57.79,-152.4072,11.73,87,0,0.0,US,2023-07-22
121,liezen,47.5667,14.2333,18.88,87,95,0.56,AT,2023-07-22
122,sitia,35.2,26.0986,33.32,56,0,4.64,GR,2023-07-22
123,chaiyaphum,15.75,102.0,32.67,57,91,3.04,TH,2023-07-22
124,hermanus,-34.4187,19.2345,11.22,60,100,3.48,ZA,2023-07-22
125,zhalantun,48.0,122.7167,18.87,97,100,1.37,CN,2023-07-22
126,wajir,1.7471,40.0573,26.83,58,100,9.36,KE,2023-07-22
127,burao,9.5221,45.5336,26.38,49,91,15.6,SO,2023-07-22
128,livingston,55.9029,-3.5226,14.33,78,40,4.63,GB,2023-07-22
129,talara,-4.5772,-81.2719,21.61,78,3,5.65,PE,2023-07-22
130,pedernales,18.0384,-71.744,26.85,71,6,0.8,DO,2023-07-22
131,ratnagiri,16.9833,73.3,25.82,90,100,6.01,IN,2023-07-22
132,east london,-33.0153,27.9116,21.52,49,0,7.2,ZA,2023-07-22
133,salinas,36.6777,-121.6555,19.45,88,0,2.57,US,2023-07-22
134,hithadhoo,-0.6,73.0833,28.02,74,82,2.41,MV,2023-07-22
135,vernon,50.2581,-119.2691,21.34,56,100,1.03,CA,2023-07-22
136,motygino,58.1831,94.7592,28.69,38,100,3.47,RU,2023-07-22
137,collie,-33.3667,116.15,17.1,53,0,1.57,AU,2023-07-22
138,hirara,24.8,125.2833,32.15,66,75,5.66,JP,2023-07-22
139,xinmin,41.9908,122.8253,21.29,97,100,7.02,CN,2023-07-22
140,bousso,10.4795,16.7117,27.35,72,40,1.74,TD,2023-07-22
141,onega,63.9061,38.1404,13.67,90,100,2.13,RU,2023-07-22
142,newman,37.3138,-121.0208,27.99,76,11,1.34,US,2023-07-22
143,iskateley,67.6803,53.1512,13.79,84,98,5.87,RU,2023-07-22
144,bamboo flat,11.7,92.7167,30.05,79,75,4.63,IN,2023-07-22
145,qamdo,31.1667,97.2333,17.8,27,18,0.68,CN,2023-07-22
146,kalmunai,7.4167,81.8167,35.32,38,100,2.0,LK,2023-07-22
147,port saint john's,-31.6229,29.5448,18.24,51,65,2.77,ZA,2023-07-22
148,nuuk,64.1835,-51.7216,7.34,100,75,1.54,GL,2023-07-22
149,waterford,42.7023,-83.4027,19.35,86,20,0.0,US,2023-07-22
150,ta`u,-14.2336,-169.5144,27.68,79,49,3.51,AS,2023-07-22
151,klyuchi,52.2667,79.1667,23.85,48,92,6.0,RU,2023-07-22
152,kruisfontein,-34.0033,24.7314,12.23,75,100,1.19,ZA,2023-07-22
153,manta,-0.95,-80.7333,24.88,83,100,4.12,EC,2023-07-22
154,griffith,41.5284,-87.4237,19.96,92,0,0.0,US,2023-07-22
155,polyarnyy,69.1989,33.4478,10.46,76,99,8.2,RU,2023-07-22
156,saudarkrokur,65.7461,-19.6394,9.57,77,100,1.04,IS,2023-07-22
157,punta arenas,-53.15,-70.9167,-2.83,74,89,3.08,CL,2023-07-22
158,kilindoni,-7.9139,39.6668,25.43,79,63,8.4,TZ,2023-07-22
159,safotu,-13.4513,-172.4018,27.88,83,94,3.17,WS,2023-07-22
160,amga,60.8953,131.9608,22.33,38,0,4.8,RU,2023-07-22
161,nelson bay,-32.7167,152.15,15.56,72,99,3.58,AU,2023-07-22
162,upington,-28.4478,21.2561,14.21,72,0,7.2,ZA,2023-07-22
163,port lincoln,-34.7333,135.8667,12.94,71,70,8.92,AU,2023-07-22
164,alofi,-19.0595,-169.9187,24.81,91,8,4.9,NU,2023-07-22
165,hadibu,12.65,54.0333,26.98,73,99,15.07,YE,2023-07-22
166,ilhabela,-23.7781,-45.3581,19.2,89,7,2.47,BR,2023-07-22
167,nabire,-3.3667,135.4833,28.31,83,93,1.14,ID,2023-07-22
168,uturoa,-16.7333,-151.4333,24.63,65,10,5.39,PF,2023-07-22
169,veinticinco de mayo,-35.4323,-60.1727,15.55,100,100,0.45,AR,2023-07-22
170,katghora,22.5,82.55,29.91,73,100,3.99,IN,2023-07-22
171,kencong,-8.2833,113.3667,28.34,65,62,5.13,ID,2023-07-22
172,afaahiti,-17.75,-149.2833,21.7,64,65,4.95,PF,2023-07-22
173,whangarei,-35.7317,174.3239,10.03,91,100,1.78,NZ,2023-07-22
174,acapulco de juarez,16.8634,-99.8901,28.9,89,100,3.6,MX,2023-07-22
175,gadzhiyevo,69.2551,33.3362,10.19,76,100,8.4,RU,2023-07-22
176,karratha,-20.7377,116.8463,25.84,19,4,9.38,AU,2023-07-22
177,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,64,0,3.0,RU,2023-07-22
178,old town,50.087,14.4202,19.18,84,40,4.12,CZ,2023-07-22
179,port elizabeth,-33.918,25.5701,14.16,82,0,0.0,ZA,2023-07-22
180,oliver,49.1831,-119.5524,27.95,36,5,3.6,CA,2023-07-22
181,papao,-17.75,-149.55,22.59,65,6,5.59,PF,2023-07-22
182,borkum,53.5809,6.6915,17.19,76,90,5.18,DE,2023-07-22
183,talnakh,69.4865,88.3972,27.34,49,100,2.06,RU,2023-07-22
184,kayar,14.9192,-17.1211,27.11,72,100,4.0,SN,2023-07-22
185,jilib,0.4883,42.7854,29.36,58,82,5.79,SO,2023-07-22
186,qaqortoq,60.7167,-46.0333,6.72,96,62,0.73,GL,2023-07-22
187,uiju,40.1994,124.5317,26.33,79,100,7.06,KP,2023-07-22
188,el jadid,33.2549,-8.506,22.18,74,10,7.52,MA,2023-07-22
189,brokopondo,4.75,-55.1667,24.24,90,14,2.81,SR,2023-07-22
190,hinthada,17.6333,95.4667,30.29,68,97,2.25,MM,2023-07-22
191,cumana,10.4635,-64.1775,25.26,84,93,2.99,VE,2023-07-22
192,aasiaat,68.7098,-52.8699,3.06,98,100,4.97,GL,2023-07-22
193,fremantle,-32.05,115.7667,20.88,51,0,1.54,AU,2023-07-22
194,cidade velha,14.9167,-23.6167,26.26,73,40,4.12,CV,2023-07-22
195,ad dabbah,18.05,30.95,38.68,9,100,1.04,SD,2023-07-22
196,kone,-21.0595,164.8658,17.87,71,12,2.86,NC,2023-07-22
197,princeville,45.7668,-61.2985,20.51,97,100,3.09,CA,2023-07-22
198,fukushima,37.75,140.4678,28.83,74,47,2.26,JP,2023-07-22
199,onguday,50.75,86.15,19.54,75,97,5.9,RU,2023-07-22
200,carrollton,32.9537,-96.8903,28.3,70,0,5.66,US,2023-07-22
201,mount isa,-20.7333,139.5,21.87,26,0,7.72,AU,2023-07-22
202,egilsstadir,65.2653,-14.3948,9.95,81,0,2.06,IS,2023-07-22
203,nar'yan-mar,67.6713,53.087,13.6,84,99,5.88,RU,2023-07-22
204,bestobe,52.4994,73.0975,26.93,31,0,8.06,KZ,2023-07-22
205,gaiman,-43.2897,-65.4929,9.35,48,0,6.98,AR,2023-07-22
206,angra dos reis,-23.0067,-44.3181,18.08,80,0,1.73,BR,2023-07-22
207,dakhla,23.6848,-15.958,19.66,91,61,9.81,EH,2023-07-22
208,ribeira grande,38.5167,-28.7,19.32,88,40,2.68,PT,2023-07-22
209,homer,59.6425,-151.5483,12.94,82,100,2.06,US,2023-07-22
210,kavalerovo,44.2661,135.0572,31.71,45,24,3.67,RU,2023-07-22
211,magadan,59.5667,150.8,17.52,88,100,3.23,RU,2023-07-22
212,mili,6.0815,171.735,27.94,74,100,2.29,MH,2023-07-22
213,fort mcmurray,56.7268,-111.381,18.73,72,0,2.06,CA,2023-07-22
214,mahriz,31.5917,54.4318,36.28,12,6,2.66,IR,2023-07-22
215,rongelap,11.1635,166.8941,28.59,75,35,5.57,MH,2023-07-22
216,weno,7.4515,151.8468,25.97,100,100,1.54,FM,2023-07-22
217,bushehr,28.9684,50.8385,36.05,49,65,4.12,IR,2023-07-22
218,carnarvon,-24.8667,113.6333,23.58,23,0,8.05,AU,2023-07-22
219,laibin,23.7,109.2667,34.29,55,49,3.59,CN,2023-07-22
220,jagdalpur,19.0667,82.0333,27.05,80,96,4.74,IN,2023-07-22
221,cruz bay,18.3313,-64.7937,26.44,83,0,2.57,VI,2023-07-22
222,khandyga,62.6667,135.6,17.49,79,100,1.72,RU,2023-07-22
223,tarrafal,15.2833,-23.7667,26.44,79,77,5.77,CV,2023-07-22
224,south grafton,-29.7,152.95,15.82,44,4,2.83,AU,2023-07-22
225,georgetown,5.4112,100.3354,31.96,66,20,4.12,MY,2023-07-22
226,cloquet,46.7216,-92.4594,15.93,95,0,0.0,US,2023-07-22
227,spring creek,40.7266,-115.5859,22.39,17,0,1.81,US,2023-07-22
228,keflavik,64.0049,-22.5624,11.95,76,75,2.06,IS,2023-07-22
229,guangyuan,32.442,105.823,32.1,63,64,2.74,CN,2023-07-22
230,kalymnos,36.95,26.9833,33.74,38,0,4.63,GR,2023-07-22
231,svirsk,53.0858,103.3325,26.94,38,19,3.84,RU,2023-07-22
